1,1,254
1,1,254
1,1,254
2,1,253
2,1,253
3,1,252
4,1,251
10,1,245
29,1,226
90,1,165
165,1,90
226,1,29
246,1,9
251,1,4
252,1,3
253,1,2
253,1,2
254,1,1
254,1,1
254,1,1
254,1,1
253,2,1
253,2,1
251,4,1
248,7,1
237,18,1
197,58,1
129,126,1
57,198,1
18,237,1
7,248,1
4,251,1
2,253,1
2,253,1
2,253,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,1,254
1,1,254
1,1,254
2,1,253
2,1,253
3,1,252
4,1,251
10,1,245
29,1,226
90,1,165
165,1,90
226,1,29
246,1,9
251,1,4
252,1,3
253,1,2
253,1,2
254,1,1
254,1,1
254,1,1
254,1,1
253,2,1
253,2,1
251,4,1
248,7,1
237,18,1
197,58,1
129,126,1
57,198,1
18,237,1
7,248,1
4,251,1
2,253,1
2,253,1
2,253,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,1,254
1,1,254
1,1,254
2,1,253
2,1,253
3,1,252
4,1,251
10,1,245
29,1,226
90,1,165
165,1,90
226,1,29
246,1,9
251,1,4
252,1,3
253,1,2
253,1,2
254,1,1
254,1,1
254,1,1
254,1,1
253,2,1
253,2,1
251,4,1
248,7,1
237,18,1
197,58,1
129,126,1
57,198,1
18,237,1
7,248,1
4,251,1
2,253,1
2,253,1
2,253,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,1,254
1,1,254
1,1,254
2,1,253
2,1,253
4,1,251
7,1,248
18,1,237
58,1,197
127,1,128
127,1,128
198,1,57
237,1,18
248,1,7
251,1,4
253,1,2
253,1,2
253,1,2
253,2,2
253,2,2
253,2,2
253,2,1
252,3,1
249,6,1
243,12,1
220,35,1
175,80,1
129,126,1
90,165,1
37,218,1
12,243,1
6,249,1
3,252,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,1,254
1,1,254
1,1,254
2,1,253
3,1,252
4,1,251
6,1,249
12,1,243
35,1,220
86,1,169
168,1,87
219,1,36
243,1,12
249,1,6
251,1,4
252,1,3
253,1,2
253,1,2
253,2,2
253,2,2
253,2,2
253,2,2
251,4,2
251,4,2
246,9,2
235,20,1
199,56,1
136,119,1
71,184,1
28,227,1
10,245,1
5,250,1
4,251,1
3,252,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
2,253,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
1,254,1
